0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9086,0.7867,0.5013,0.3323,0.7355,0.5118,0.5400,0.1085,0.9426,0.2622,0.7399,0.6408,0.0300
1.0000,0.7084,0.5835,0.5642,0.6766,0.5996,0.7852,0.1391,0.8423,0.3709,0.6844,0.6138,0.3422
1.0000,0.7084,0.5835,0.5642,0.6766,0.5996,0.7852,0.1391,0.8423,0.3709,0.6844,0.6138,0.0833
1.0000,0.7084,0.5835,0.5642,0.6766,0.5996,0.7852,0.1391,0.8423,0.3709,0.6844,0.6138,0.0907
0.9819,0.6272,0.4686,0.4801,0.5881,0.8640,0.7617,0.0576,0.6930,0.4554,0.5967,0.6828,0.4096
1.0000,0.5338,0.3938,0.3644,0.5591,0.8587,0.8792,0.2103,0.6082,0.4391,0.6373,0.7113,0.8408
0.9480,0.5769,0.4333,0.3471,0.7603,0.7495,0.8502,0.1518,0.6252,0.3243,0.4677,0.7706,0.6960
1.0000,0.4392,0.3711,0.5746,0.7657,0.7594,0.9632,0.1873,0.5486,0.2462,0.6106,0.7570,1.1705
0.7763,0.5571,0.2889,0.4712,0.8312,0.6292,1.0000,0.2144,0.5664,0.2004,0.5878,0.9858,0.4504
0.9023,0.5224,0.2352,0.3730,0.7092,0.5013,0.8212,0.2138,0.3773,0.1574,0.5487,1.0000,0.9832
0.8477,0.4128,0.0194,0.3113,0.6596,0.6345,0.8868,0.2415,0.4708,0.0000,0.7635,1.0000,1.5010
0.8869,0.2747,0.0000,0.3412,0.6801,0.7157,0.8303,0.1496,0.3185,0.0496,0.9040,0.8301,1.8582
1.0000,0.3470,0.0000,0.4893,0.7305,0.9108,0.9118,0.1798,0.4788,0.0000,0.9356,0.8407,1.7183
1.0000,0.3470,0.0000,0.4893,0.7305,0.9108,0.9118,0.1798,0.4788,0.0000,0.9356,0.8407,1.4394
1.0000,0.3415,0.0000,0.4564,0.6289,0.8495,1.0000,0.2285,0.5888,0.0000,0.9209,0.9927,1.3853
0.8098,0.3021,0.0697,0.4768,0.5465,0.8986,0.9723,0.2878,0.5151,0.0000,0.9704,0.8430,1.8740
0.7312,0.1997,0.0000,0.4496,0.4804,0.8043,1.0000,0.1458,0.4102,0.0000,0.9425,0.8901,1.6301
0.6518,0.1868,0.0998,0.4665,0.5480,0.7890,0.9622,0.2021,0.2646,0.1449,1.0000,0.9407,1.4602
0.5443,0.0625,0.0943,0.4162,0.7643,0.7636,0.9936,0.1785,0.1461,0.0970,1.0000,0.7556,1.8640
0.5443,0.0625,0.0943,0.4162,0.7643,0.7636,0.9936,0.1785,0.1461,0.0970,1.0000,0.7556,1.4960
0.5443,0.0625,0.0943,0.4162,0.7643,0.7636,0.9936,0.1785,0.1461,0.0970,1.0000,0.7556,1.4919
0.4562,0.1257,0.1464,0.4898,0.7238,0.8308,1.0000,0.1088,0.2382,0.0426,1.0000,0.7754,1.5959
0.8141,0.0000,0.3236,0.8427,0.7632,1.0000,0.7248,0.1666,0.1051,0.0000,0.6320,1.0000,3.5282
0.6223,0.0000,0.1351,0.9153,0.9800,0.6057,0.7874,0.0000,0.0000,0.1444,0.7367,0.1791,2.8764
0.6223,0.0000,0.1351,0.9153,0.9800,0.6057,0.7874,0.0000,0.0000,0.1444,0.7367,0.1791,-0.4920
0.8019,0.0000,0.1946,0.8736,1.0000,0.5517,0.8782,0.0416,0.0000,0.1206,0.8255,0.1870,-0.4546
0.8019,0.0000,0.1946,0.8736,1.0000,0.5517,0.8782,0.0416,0.0000,0.1206,0.8255,0.1870,-0.6835
0.7495,0.0000,0.2757,0.7673,0.8697,0.4710,0.9684,0.2001,0.0000,0.0000,0.7668,0.1743,0.0749
0.6678,0.0000,0.3330,0.6543,0.8359,0.3729,0.7852,0.2423,0.0000,0.0000,0.9398,0.1470,0.1515
0.6772,0.0000,0.3696,0.7004,0.8676,0.3427,0.8058,0.1867,0.0000,0.0359,0.9172,0.1187,0.4204
0.6790,0.0970,0.2778,1.0000,0.6765,0.4126,0.6683,0.2764,0.0000,0.1163,1.0000,0.2558,0.9174
0.8100,0.0181,0.1958,0.9887,0.6954,0.4105,0.7928,0.2428,0.1124,0.0419,1.0000,0.3366,1.0789
