0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0352,0.5601,0.0000,0.3774,0.4402,0.6941,1.0000,0.1459,0.6974,0.2423
0.0390,0.7500,0.0000,0.1643,0.5498,0.6478,1.0000,0.1393,0.4590,0.4795
0.1473,0.8363,0.1095,0.0607,0.4756,0.7094,0.9512,0.1850,0.4143,0.4596
0.0915,0.7317,0.1176,0.0000,0.4535,0.7364,1.0000,0.2532,0.3163,0.4446
0.1187,0.7494,0.2110,0.0000,0.4667,0.7674,1.0000,0.2403,0.3441,1.0032
0.1159,0.9001,0.3080,0.0000,0.4722,0.7507,0.9082,0.1462,0.2605,0.6369
0.1240,1.0000,0.0317,0.0000,0.3099,0.7849,0.7804,0.0976,0.2520,0.6435
0.1375,1.0000,0.0000,0.0150,0.3526,0.8072,0.7155,0.0000,0.0172,1.3587
0.3106,0.8324,0.0000,0.0054,0.2666,1.0000,0.6921,0.0000,0.0945,1.4236
0.1920,0.7561,0.1287,0.1367,0.3160,1.0000,0.6686,0.1555,0.0000,1.6467
0.0931,0.6175,0.0963,0.2520,0.2447,1.0000,0.6790,0.2604,0.0000,0.9591
0.2221,0.6156,0.0000,0.2027,0.2871,0.9262,0.4635,0.2426,0.0000,1.1231
0.2750,0.6944,0.1147,0.3214,0.1411,0.9116,0.4700,0.1491,0.1817,0.8891
0.1437,0.8472,0.1482,0.1869,0.2233,1.0000,0.5326,0.1262,0.1460,1.0873
0.1621,0.7339,0.2240,0.2144,0.1947,0.8491,0.4185,0.1242,0.1260,1.1014
0.1297,0.8725,0.2154,0.3549,0.0156,0.9054,0.3157,0.1144,0.1317,1.0590
0.1297,0.8725,0.2154,0.3549,0.0156,0.9054,0.3157,0.1144,0.1317,0.9025
0.1297,0.8725,0.2154,0.3549,0.0156,0.9054,0.3157,0.1144,0.1317,0.8159
0.1297,0.8725,0.2154,0.3549,0.0156,0.9054,0.3157,0.1144,0.1317,1.1306
0.0922,0.9694,0.2440,0.4136,0.0000,0.8292,0.3132,0.0000,0.0000,1.4136
0.0000,1.0000,0.2247,0.4968,0.0000,0.7540,0.2754,0.0600,0.0000,1.5635
0.0000,1.0000,0.2247,0.4968,0.0000,0.7540,0.2754,0.0600,0.0000,1.1913
0.0570,0.9060,0.2001,0.2807,0.0864,0.7406,0.1984,0.0000,0.0710,1.0873
0.0570,0.9060,0.2001,0.2807,0.0864,0.7406,0.1984,0.0000,0.0710,1.0490
